"reference_id","registration_number","doctor_name","normalized_name","state_medical_council","registration_year","registration_date","qualification","specialization","registration_status","source_type","source_reference","source_year"
"REF-KA-000026","SYN-KA-MED-000026","Manasa Nayak","MANASA NAYAK","Karnataka Medical Council","2000","2000-02-10","MBBS, DNB","Pediatrics","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-BR-000027","SYN-BR-MED-000027","Yogesh Mishra","YOGESH MISHRA","Bihar Medical Council","2004","2004-12-19","MBBS, MD","Anesthesiology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-TG-000028","SYN-TG-MED-000028","Sachin Das","SACHIN DAS","Telangana State Medical Council","1995","1995-01-11","MBBS, MD","Obstetrics and Gynecology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-TN-000029","SYN-TN-MED-000029","Leena Devarajan","LEENA DEVARAJAN","Tamil Nadu Medical Council","2002","2002-06-05","MBBS, DNB","ENT","INACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-TN-000030","SYN-TN-MED-000030","Venkatesh Sekar","VENKATESH SEKAR","Tamil Nadu Medical Council","2007","2007-05-16","MBBS, MS","Orthopedics","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-MH-000031","SYN-MH-MED-000031","Ganesh Jadhav","GANESH JADHAV","Maharashtra Medical Council","2002","2002-03-18","MBBS, MD","Urology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-OD-000032","SYN-OD-MED-000032","Dinesh Reddy","DINESH REDDY","Odisha Medical Council","2017","2017-11-01","MBBS, MD, DM","Anesthesiology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-DL-000033","SYN-DL-MED-000033","Indira Kumar","INDIRA KUMAR","Delhi Medical Council","1987","1987-09-09","MBBS, MS","Radiology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-KA-000034","SYN-KA-MED-000034","Rajini Naik","RAJINI NAIK","Karnataka Medical Council","2008","2008-07-08","MBBS, MS, MCh","Anesthesiology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-UP-000035","SYN-UP-MED-000035","Ramesh Sharma","RAMESH SHARMA","Uttar Pradesh Medical Council","2014","2014-09-17","MBBS","Ophthalmology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-AP-000036","SYN-AP-MED-000036","Mamta Mehta","MAMTA MEHTA","Andhra Pradesh Medical Council","1995","1995-09-05","MBBS, MS","Orthopedics","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-TN-000037","SYN-TN-MED-000037","Divya Annamalai","DIVYA ANNAMALAI","Tamil Nadu Medical Council","2015","2015-06-02","MBBS, MD","Endocrinology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-KER-000038","SYN-KER-MED-000038","Rahul George","RAHUL GEORGE","Kerala Medical Council","1999","1999-01-22","MBBS, MD","Ophthalmology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-KER-000039","SYN-KER-MED-000039","Yashodha Philip","YASHODHA PHILIP","Kerala Medical Council","1987","1987-01-21","MBBS, MD","Diabetology","RETIRED","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-KA-000040","SYN-KA-MED-000040","Lavanya Prasad","LAVANYA PRASAD","Karnataka Medical Council","2002","2002-12-09","MBBS, MS","Anesthesiology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-DL-000041","SYN-DL-MED-000041","Madhavi Saxena","MADHAVI SAXENA","Delhi Medical Council","2008","2008-10-21","MBBS, MS, MCh","Cardiology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-TG-000042","SYN-TG-MED-000042","Srikanth Mehta","SRIKANTH MEHTA","Telangana State Medical Council","2018","2018-07-12","MBBS, MD, DM","Ophthalmology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-MP-000043","SYN-MP-MED-000043","Ambika Iyer","AMBIKA IYER","Madhya Pradesh Medical Council","1985","1985-09-05","MBBS, MS","Obstetrics and Gynecology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-UP-000044","SYN-UP-MED-000044","Leena Jain","LEENA JAIN","Uttar Pradesh Medical Council","1998","1998-03-06","MBBS, MD","Emergency Medicine","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-KA-000045","SYN-KA-MED-000045","Jagadish Nayak","JAGADISH NAYAK","Karnataka Medical Council","1999","1999-07-26","MBBS, MD","Neurology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-TN-000046","SYN-TN-MED-000046","Ambika Kumar","AMBIKA KUMAR","Tamil Nadu Medical Council","1998","1998-10-06","MBBS, DNB","Gastroenterology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-MH-000047","SYN-MH-MED-000047","Arvind Kulkarni","ARVIND KULKARNI","Maharashtra Medical Council","2021","2021-10-06","MBBS","Oncology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-RJ-000048","SYN-RJ-MED-000048","Geetha Sharma","GEETHA SHARMA","Rajasthan Medical Council","1988","1988-03-09","MBBS, MD, DNB","Oncology","RETIRED","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-DL-000049","SYN-DL-MED-000049","Jayalakshmi Chopra","JAYALAKSHMI CHOPRA","Delhi Medical Council","1986","1986-12-24","MBBS, DNB","Psychiatry","INACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-TN-000050","SYN-TN-MED-000050","Nishant Sekar","NISHANT SEKAR","Tamil Nadu Medical Council","2023","2023-08-28","MBBS, MS","Obstetrics and Gynecology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-TN-000051","SYN-TN-MED-000051","Jayalakshmi Annamalai","JAYALAKSHMI ANNAMALAI","Tamil Nadu Medical Council","2022","2022-03-20","MBBS, DNB","Dermatology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-UP-000052","SYN-UP-MED-000052","Meenakshi Mishra","MEENAKSHI MISHRA","Uttar Pradesh Medical Council","2014","2014-10-19","MBBS","Pulmonology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-MH-000053","SYN-MH-MED-000053","Hari Deshmukh","HARI DESHMUKH","Maharashtra Medical Council","1997","1997-09-28","MBBS, MD, DNB","Rheumatology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-KER-000054","SYN-KER-MED-000054","Kumar Jacob","KUMAR JACOB","Kerala Medical Council","1991","1991-03-16","MBBS, MD, DNB","Emergency Medicine","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-TG-000055","SYN-TG-MED-000055","Rekha Varma","REKHA VARMA","Telangana State Medical Council","2017","2017-02-03","MBBS, MS","Neurosurgery","INACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-MH-000056","SYN-MH-MED-000056","Ashwini Jadhav","ASHWINI JADHAV","Maharashtra Medical Council","1985","1985-11-21","MBBS, MS","Gastroenterology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-TN-000057","SYN-TN-MED-000057","Arvind Raja","ARVIND RAJA","Tamil Nadu Medical Council","2012","2012-04-26","MBBS, MS","Pulmonology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-AS-000058","SYN-AS-MED-000058","Rohini Nair","ROHINI NAIR","Assam Medical Council","1991","1991-07-05","MBBS, MD","Obstetrics and Gynecology","INACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-TG-000059","SYN-TG-MED-000059","Ganesh Gupta","GANESH GUPTA","Telangana State Medical Council","2023","2023-09-14","MBBS, MD","General Medicine","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-KA-000060","SYN-KA-MED-000060","Revathi Gowda","REVATHI GOWDA","Karnataka Medical Council","2021","2021-09-04","MBBS, MS","Pulmonology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-KA-000061","SYN-KA-MED-000061","Mythili Swamy","MYTHILI SWAMY","Karnataka Medical Council","2005","2005-07-12","MBBS","Gastroenterology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-ML-000062","SYN-ML-MED-000062","Priya Jain","PRIYA JAIN","Meghalaya Medical Council","2019","2019-07-19","MBBS, MD","Dermatology","RETIRED","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-JK-000063","SYN-JK-MED-000063","Sudhir Shah","SUDHIR SHAH","Jammu and Kashmir Medical Council","2011","2011-09-26","MBBS, MS","Orthopedics","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-GJ-000064","SYN-GJ-MED-000064","Deepa Babu","DEEPA BABU","Gujarat Medical Council","2001","2001-05-19","MBBS, MD","Diabetology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-UK-000065","SYN-UK-MED-000065","Kiran Singh","KIRAN SINGH","Uttarakhand Medical Council","1999","1999-08-26","MBBS, DNB","Orthopedics","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-MH-000066","SYN-MH-MED-000066","Anjali Naik","ANJALI NAIK","Maharashtra Medical Council","2006","2006-09-20","MBBS, DNB","Diabetology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-UP-000067","SYN-UP-MED-000067","Srinivas Reddy","SRINIVAS REDDY","Uttar Pradesh Medical Council","1990","1990-03-16","MBBS, MD, DNB","Gastroenterology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-OD-000068","SYN-OD-MED-000068","Rahul Mehta","RAHUL MEHTA","Odisha Medical Council","2008","2008-02-20","MBBS","Pulmonology","INACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-KER-000069","SYN-KER-MED-000069","Sunil Jacob","SUNIL JACOB","Kerala Medical Council","2018","2018-05-23","MBBS, MS, DNB","General Surgery","INACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-MH-000070","SYN-MH-MED-000070","Savitha Kulkarni","SAVITHA KULKARNI","Maharashtra Medical Council","2016","2016-08-01","MBBS, MD","Rheumatology","INACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-TG-000071","SYN-TG-MED-000071","Anupama Gupta","ANUPAMA GUPTA","Telangana State Medical Council","1997","1997-01-26","MBBS, MS","Oncology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-DL-000072","SYN-DL-MED-000072","Kavitha Singh","KAVITHA SINGH","Delhi Medical Council","1987","1987-06-08","MBBS, DNB","Orthopedics","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-GA-000073","SYN-GA-MED-000073","Rakesh Chandra","RAKESH CHANDRA","Goa Medical Council","2007","2007-11-13","MBBS, MS","Pediatrics","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-MH-000074","SYN-MH-MED-000074","Pooja Salvi","POOJA SALVI","Maharashtra Medical Council","1989","1989-02-18","MBBS, MD","Radiology","INACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-KA-000075","SYN-KA-MED-000075","Sathish Patil","SATHISH PATIL","Karnataka Medical Council","2002","2002-04-20","MBBS, MS, DNB","Nephrology","INACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-PB-000076","SYN-PB-MED-000076","Geetha Reddy","GEETHA REDDY","Punjab Medical Council","2001","2001-03-14","MBBS, MS","Radiology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-HR-000077","SYN-HR-MED-000077","Ramesh Mishra","RAMESH MISHRA","Haryana Medical Council","1992","1992-09-09","MBBS, MS, MCh","Anesthesiology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-AS-000078","SYN-AS-MED-000078","Vivek Chandra","VIVEK CHANDRA","Assam Medical Council","2021","2021-08-25","MBBS, MD","ENT","RETIRED","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-UP-000079","SYN-UP-MED-000079","Suresh Dey","SURESH DEY","Uttar Pradesh Medical Council","2022","2022-01-16","MBBS","Cardiology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-KA-000080","SYN-KA-MED-000080","Rekha Hegde","REKHA HEGDE","Karnataka Medical Council","1999","1999-06-14","MBBS, MS, DNB","Oncology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-KA-000081","SYN-KA-MED-000081","Nandita Prasad","NANDITA PRASAD","Karnataka Medical Council","2001","2001-04-10","MBBS","Rheumatology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-KER-000082","SYN-KER-MED-000082","Santosh Pillai","SANTOSH PILLAI","Kerala Medical Council","2020","2020-03-16","MBBS, MD","Pediatrics","INACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-DL-000083","SYN-DL-MED-000083","Rajesh Singh","RAJESH SINGH","Delhi Medical Council","1997","1997-08-24","MBBS, MD","Obstetrics and Gynecology","INACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-CG-000084","SYN-CG-MED-000084","Nikhil Mehta","NIKHIL MEHTA","Chhattisgarh Medical Council","1997","1997-04-27","MBBS, DNB","Neurosurgery","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-AP-000085","SYN-AP-MED-000085","Jagadish Kumar","JAGADISH KUMAR","Andhra Pradesh Medical Council","2016","2016-10-01","MBBS, MD, DM","Radiology","RETIRED","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-KA-000086","SYN-KA-MED-000086","Sonal Kamath","SONAL KAMATH","Karnataka Medical Council","2008","2008-10-11","MBBS, MS","Anesthesiology","INACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-TG-000087","SYN-TG-MED-000087","Amita Patel","AMITA PATEL","Telangana State Medical Council","2017","2017-05-13","MBBS, MD","Anesthesiology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-MH-000088","SYN-MH-MED-000088","Archana Bhosale","ARCHANA BHOSALE","Maharashtra Medical Council","2012","2012-08-18","MBBS","Ophthalmology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-JH-000089","SYN-JH-MED-000089","Meenakshi Patel","MEENAKSHI PATEL","Jharkhand Medical Council","2014","2014-02-23","MBBS, MS","ENT","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-TN-000090","SYN-TN-MED-000090","Aditya Shanmugam","ADITYA SHANMUGAM","Tamil Nadu Medical Council","2009","2009-10-04","MBBS, MD","Emergency Medicine","INACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-KA-000091","SYN-KA-MED-000091","Murali Bhat","MURALI BHAT","Karnataka Medical Council","2001","2001-04-09","MBBS, MS","Emergency Medicine","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-TN-000092","SYN-TN-MED-000092","Murali Kumar","MURALI KUMAR","Tamil Nadu Medical Council","2012","2012-04-14","MBBS, DNB","Ophthalmology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-TG-000093","SYN-TG-MED-000093","Sunil Jain","SUNIL JAIN","Telangana State Medical Council","2013","2013-03-19","MBBS","Anesthesiology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-TN-000094","SYN-TN-MED-000094","Savitha Sundaram","SAVITHA SUNDARAM","Tamil Nadu Medical Council","2002","2002-04-18","MBBS, MS","Pulmonology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-KA-000095","SYN-KA-MED-000095","Rohini Murthy","ROHINI MURTHY","Karnataka Medical Council","1994","1994-08-26","MBBS","Gastroenterology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-DL-000096","SYN-DL-MED-000096","Vandana Chawla","VANDANA CHAWLA","Delhi Medical Council","2018","2018-09-24","MBBS, MD","Endocrinology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-TG-000097","SYN-TG-MED-000097","Deepa Nair","DEEPA NAIR","Telangana State Medical Council","1988","1988-07-04","MBBS, DNB","General Surgery","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-KA-000098","SYN-KA-MED-000098","Priya Kamath","PRIYA KAMATH","Karnataka Medical Council","1991","1991-08-24","MBBS, MD","Ophthalmology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-MH-000099","SYN-MH-MED-000099","Deepa Bhosale","DEEPA BHOSALE","Maharashtra Medical Council","2001","2001-06-01","MBBS, MS","Ophthalmology","INACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-MH-000100","SYN-MH-MED-000100","Jyothi Joshi","JYOTHI JOSHI","Maharashtra Medical Council","2021","2021-10-21","MBBS, DNB","Orthopedics","RETIRED","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-KA-000101","SYN-KA-MED-000101","Ram Patil","RAM PATIL","Karnataka Medical Council","2005","2005-11-17","MBBS, MS","Nephrology","INACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-RJ-000102","SYN-RJ-MED-000102","Srikanth Iyer","SRIKANTH IYER","Rajasthan Medical Council","2003","2003-08-21","MBBS, MS, DNB","Orthopedics","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-AP-000103","SYN-AP-MED-000103","Zarina Mishra","ZARINA MISHRA","Andhra Pradesh Medical Council","2011","2011-11-20","MBBS, MS","Cardiology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-UP-000104","SYN-UP-MED-000104","Santosh Mehta","SANTOSH MEHTA","Uttar Pradesh Medical Council","2005","2005-06-21","MBBS, MD","Dermatology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-KER-000105","SYN-KER-MED-000105","Sudhir Namboothiri","SUDHIR NAMBOOTHIRI","Kerala Medical Council","2013","2013-06-24","MBBS, MS","Nephrology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-MH-000106","SYN-MH-MED-000106","Murali Jadhav","MURALI JADHAV","Maharashtra Medical Council","1986","1986-03-24","MBBS, MD","Dermatology","INACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
