"disciplinary_id","registration_number","doctor_name","state_medical_council","action_type","status","suspended_date","restored_date","source_type","source_reference","remarks"
"DISC-0021","SYN-MP-MED-001707","Zarina Shah","Madhya Pradesh Medical Council","BLACKLIST","BLACKLISTED","2008-05-03","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0022","SYN-TG-MED-004093","Meena Mishra","Telangana State Medical Council","SUSPENSION","ACTIVE","2007-07-18","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0023","SYN-GJ-MED-004066","Preethi Reddy","Gujarat Medical Council","SUSPENSION","ACTIVE","2008-08-27","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0024","SYN-MH-MED-004661","Jayan Shinde","Maharashtra Medical Council","BLACKLIST","BLACKLISTED","2012-11-11","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0025","SYN-UK-MED-003934","Jagadish Chandra","Uttarakhand Medical Council","SUSPENSION","ACTIVE","2008-02-17","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0026","SYN-MP-MED-001933","Ramesh Sharma","Madhya Pradesh Medical Council","SUSPENSION","ACTIVE","2010-04-19","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0027","SYN-MH-MED-002342","Padmaja Naik","Maharashtra Medical Council","SUSPENSION","ACTIVE","2007-06-12","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0028","SYN-DL-MED-000973","Rakesh Agarwal","Delhi Medical Council","REMOVAL","REMOVED","2006-05-28","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0029","SYN-HR-MED-003816","Lavanya Kumar","Haryana Medical Council","BLACKLIST","BLACKLISTED","2009-03-18","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0030","SYN-HP-MED-002537","Ananya Varma","Himachal Pradesh Medical Council","RESTORATION","RESTORED","2001-08-01","2003-06-21","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0031","SYN-KER-MED-000082","Santosh Pillai","Kerala Medical Council","SUSPENSION","ACTIVE","2020-08-29","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0032","SYN-MH-MED-002067","Savitha Jadhav","Maharashtra Medical Council","SUSPENSION","ACTIVE","2002-07-07","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0033","SYN-KER-MED-004068","Pooja Namboothiri","Kerala Medical Council","SUSPENSION","ACTIVE","2004-02-03","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0034","SYN-KA-MED-000683","Aditya Patil","Karnataka Medical Council","SUSPENSION","ACTIVE","2008-03-05","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0035","SYN-WB-MED-002874","Kavitha Patel","West Bengal Medical Council","SUSPENSION","ACTIVE","2017-04-27","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0036","SYN-MH-MED-004873","Sanjay Sawant","Maharashtra Medical Council","REMOVAL","REMOVED","2006-01-04","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0037","SYN-KER-MED-001133","Sudhir Jacob","Kerala Medical Council","SUSPENSION","ACTIVE","2004-07-22","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0038","SYN-RJ-MED-004660","Mythili Babu","Rajasthan Medical Council","BLACKLIST","BLACKLISTED","2010-07-17","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0039","SYN-DL-MED-000922","Mahesh Malhotra","Delhi Medical Council","SUSPENSION","ACTIVE","2009-01-02","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0040","SYN-DL-MED-001144","Mahesh Agarwal","Delhi Medical Council","SUSPENSION","ACTIVE","2012-01-02","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0041","SYN-KER-MED-000985","Jyothi Mathew","Kerala Medical Council","SUSPENSION","ACTIVE","2005-09-30","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0042","SYN-TG-MED-002028","Ganesh Das","Telangana State Medical Council","SUSPENSION","ACTIVE","2008-09-01","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0043","SYN-WB-MED-002839","Vimala Anand","West Bengal Medical Council","RESTORATION","RESTORED","2020-04-11","2021-03-25","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0044","SYN-MH-MED-004125","Ambika Rane","Maharashtra Medical Council","RESTORATION","RESTORED","2010-01-14","2011-06-13","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0045","SYN-UK-MED-004383","Jyothi Dey","Uttarakhand Medical Council","RESTORATION","RESTORED","2006-08-26","2007-04-12","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0046","SYN-UP-MED-004038","Prasad Mishra","Uttar Pradesh Medical Council","BLACKLIST","BLACKLISTED","2008-10-13","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0047","SYN-KER-MED-000225","Suresh Nair","Kerala Medical Council","SUSPENSION","ACTIVE","2008-05-16","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0048","SYN-KER-MED-002074","Padmini Thomas","Kerala Medical Council","SUSPENSION","ACTIVE","2021-09-05","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0049","SYN-UK-MED-001688","Rakesh Chandra","Uttarakhand Medical Council","SUSPENSION","ACTIVE","2002-07-09","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0050","SYN-RJ-MED-001161","Venkatesh Babu","Rajasthan Medical Council","RESTORATION","RESTORED","2000-10-21","2002-02-18","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0051","SYN-TN-MED-000296","Nisha Sundaram","Tamil Nadu Medical Council","SUSPENSION","ACTIVE","2019-01-30","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0052","SYN-MH-MED-004439","Anupama Shinde","Maharashtra Medical Council","SUSPENSION","ACTIVE","2006-06-09","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0053","SYN-KA-MED-000154","Bhavana Raju","Karnataka Medical Council","SUSPENSION","ACTIVE","2012-05-12","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0054","SYN-MH-MED-002174","Shekhar Sawant","Maharashtra Medical Council","RESTORATION","RESTORED","2008-06-07","2010-04-13","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0055","SYN-NL-MED-003447","Vivek Varma","Nagaland Medical Council","BLACKLIST","BLACKLISTED","2021-08-13","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0056","SYN-TR-MED-004240","Mythili Jain","Tripura Medical Council","SUSPENSION","ACTIVE","2007-07-24","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0057","SYN-TN-MED-004657","Prakash Subramaniam","Tamil Nadu Medical Council","SUSPENSION","ACTIVE","2011-11-28","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0058","SYN-DL-MED-000510","Saritha Gupta","Delhi Medical Council","BLACKLIST","BLACKLISTED","2006-02-02","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0059","SYN-KER-MED-000424","Arjun Nair","Kerala Medical Council","SUSPENSION","ACTIVE","2008-03-15","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0060","SYN-KA-MED-004748","Ramesh Reddy","Karnataka Medical Council","SUSPENSION","ACTIVE","2019-09-02","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0061","SYN-KA-MED-004110","Suresh Murthy","Karnataka Medical Council","SUSPENSION","ACTIVE","2008-06-27","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0062","SYN-HP-MED-004373","Sushma Prasad","Himachal Pradesh Medical Council","SUSPENSION","ACTIVE","2013-03-31","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0063","SYN-DL-MED-003540","Sindhu Verma","Delhi Medical Council","SUSPENSION","ACTIVE","2019-02-05","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0064","SYN-MH-MED-002668","Amruta Salvi","Maharashtra Medical Council","REMOVAL","REMOVED","2007-01-21","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0065","SYN-UP-MED-003534","Rahul Patel","Uttar Pradesh Medical Council","SUSPENSION","ACTIVE","2001-10-05","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0066","SYN-TG-MED-003924","Sushma Rao","Telangana State Medical Council","RESTORATION","RESTORED","2021-04-16","2022-07-01","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0067","SYN-RJ-MED-001612","Manasa Shah","Rajasthan Medical Council","SUSPENSION","ACTIVE","2006-11-14","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0068","SYN-MN-MED-001608","Jyothi Nair","Manipur Medical Council","RESTORATION","RESTORED","2007-07-11","2009-01-01","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0069","SYN-KA-MED-002223","Geeta Reddy","Karnataka Medical Council","RESTORATION","RESTORED","2021-07-12","2022-09-25","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0070","SYN-DL-MED-003039","Savitha Malhotra","Delhi Medical Council","SUSPENSION","ACTIVE","2022-10-24","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0071","SYN-KER-MED-004805","Ram Namboothiri","Kerala Medical Council","BLACKLIST","BLACKLISTED","2020-03-30","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0072","SYN-TG-MED-004106","Pooja Nair","Telangana State Medical Council","SUSPENSION","ACTIVE","2005-06-13","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0073","SYN-KA-MED-002056","Srikanth Kulkarni","Karnataka Medical Council","SUSPENSION","ACTIVE","2012-09-09","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0074","SYN-AP-MED-000350","Ashok Singh","Andhra Pradesh Medical Council","BLACKLIST","BLACKLISTED","2010-06-22","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0075","SYN-KA-MED-003954","Rekha Kulkarni","Karnataka Medical Council","SUSPENSION","ACTIVE","2017-11-04","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0076","SYN-OD-MED-000882","Hari Singh","Odisha Medical Council","SUSPENSION","ACTIVE","2015-02-13","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0077","SYN-KA-MED-003791","Asha Patil","Karnataka Medical Council","SUSPENSION","ACTIVE","2011-03-13","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0078","SYN-TN-MED-002686","Balaji Sundaram","Tamil Nadu Medical Council","SUSPENSION","ACTIVE","2008-11-24","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0079","SYN-TG-MED-001407","Ambika Dey","Telangana State Medical Council","SUSPENSION","ACTIVE","2011-10-08","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0080","SYN-JK-MED-002421","Yogesh Babu","Jammu and Kashmir Medical Council","SUSPENSION","ACTIVE","2020-10-08","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0081","SYN-HR-MED-003658","Rahul Shah","Haryana Medical Council","SUSPENSION","ACTIVE","2021-01-22","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0082","SYN-KA-MED-003495","Balaji Shetty","Karnataka Medical Council","RESTORATION","RESTORED","2002-05-24","2003-03-15","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0083","SYN-WB-MED-004895","Sudha Jain","West Bengal Medical Council","SUSPENSION","ACTIVE","2005-08-11","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0084","SYN-AP-MED-001912","Geetha Prasad","Andhra Pradesh Medical Council","RESTORATION","RESTORED","2013-03-21","2013-08-07","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0085","SYN-KA-MED-004521","Meenakshi Patil","Karnataka Medical Council","SUSPENSION","ACTIVE","2012-01-15","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0086","SYN-PY-MED-004983","Sudhir Patel","Puducherry Medical Council","SUSPENSION","ACTIVE","2012-12-25","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0087","SYN-GJ-MED-002702","Venkatesh Dey","Gujarat Medical Council","REMOVAL","REMOVED","2019-04-11","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0088","SYN-WB-MED-000134","Asha Singh","West Bengal Medical Council","REMOVAL","REMOVED","2016-02-22","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0089","SYN-WB-MED-001237","Meena Gupta","West Bengal Medical Council","SUSPENSION","ACTIVE","2019-06-02","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0090","SYN-KA-MED-000060","Revathi Gowda","Karnataka Medical Council","SUSPENSION","ACTIVE","2015-04-24","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0091","SYN-UK-MED-000065","Kiran Singh","Uttarakhand Medical Council","SUSPENSION","ACTIVE","2013-12-31","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0092","SYN-MH-MED-002649","Rajesh Bhosale","Maharashtra Medical Council","SUSPENSION","ACTIVE","2010-11-05","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0093","SYN-WB-MED-001516","Saritha Babu","West Bengal Medical Council","SUSPENSION","ACTIVE","2017-06-25","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0094","SYN-UP-MED-004839","Rakesh Kumar","Uttar Pradesh Medical Council","SUSPENSION","ACTIVE","2021-06-20","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0095","SYN-MH-MED-002789","Rakesh Naik","Maharashtra Medical Council","BLACKLIST","BLACKLISTED","2005-11-17","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0096","SYN-WB-MED-003261","Pooja Mishra","West Bengal Medical Council","SUSPENSION","ACTIVE","2002-10-14","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0097","SYN-UP-MED-002272","Usha Prasad","Uttar Pradesh Medical Council","SUSPENSION","ACTIVE","2013-03-15","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0098","SYN-UP-MED-001285","Indira Anand","Uttar Pradesh Medical Council","BLACKLIST","BLACKLISTED","2016-02-08","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0099","SYN-KA-MED-003208","Srikanth Reddy","Karnataka Medical Council","RESTORATION","RESTORED","2018-01-24","2018-08-11","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0100","SYN-MH-MED-001313","Praveen Kulkarni","Maharashtra Medical Council","SUSPENSION","ACTIVE","2006-10-27","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0101","SYN-AS-MED-002420","Lavanya Shah","Assam Medical Council","SUSPENSION","ACTIVE","2005-06-02","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0102","SYN-KER-MED-002776","Geeta Krishnan","Kerala Medical Council","RESTORATION","RESTORED","2000-12-19","2002-07-17","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0103","SYN-DL-MED-004475","Padmini Gupta","Delhi Medical Council","RESTORATION","RESTORED","2014-12-31","2016-08-02","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0104","SYN-MP-MED-003562","Deepak Rao","Madhya Pradesh Medical Council","SUSPENSION","ACTIVE","2002-11-15","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0105","SYN-TR-MED-000959","Vandana Das","Tripura Medical Council","SUSPENSION","ACTIVE","2006-12-11","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
